	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
3278	tt0015361	7.6	5722	Strike	1925	82	Drama
3288	tt0015400	7.9	4625	The Thief of Bagdad	1924	155	Adventure,Family,Fantasy
3323	tt0015532	7.9	4219	The Adventures of Prince Achmed	1926	81	Adventure,Animation,Fantasy
3354	tt0015624	8.2	5385	The Big Parade	1925	151	Drama,Romance,War
3362	tt0015648	8.0	45116	Battleship Potemkin	1925	75	Drama,History
3395	tt0015768	7.2	1337	Master of the House	1925	111	Drama
3398	tt0015772	7.3	1391	The Eagle	1925	73	Action,Comedy,Drama
3412	tt0015841	7.6	4145	The Freshman	1925	76	Comedy,Family,Sport
3413	tt0015842	7.4	1154	The Joyless Street	1925	125	Drama
3416	tt0015863	7.3	2907	Go West	1925	68	Comedy,Western
3417	tt0015864	8.2	80911	The Gold Rush	1925	95	Adventure,Comedy,Drama
3421	tt0015881	7.9	7758	Greed	1924	140	Drama,Thriller,Western
3472	tt0016029	7.1	1135	The Little Colonel	1935	81	Comedy,Family,Musical
3478	tt0016039	7.1	3796	The Lost World	1925	106	Adventure,Fantasy,Sci-Fi
3494	tt0016104	8.1	1908	The Merry Widow	1925	137	Drama,Romance
3524	tt0016220	7.7	13853	The Phantom of the Opera	1925	93	Horror
3528	tt0016230	6.0	1670	The Pleasure Garden	1925	75	Drama,Romance
3557	tt0016332	8.0	7275	Seven Chances	1925	56	Comedy,Romance
3596	tt0016473	7.3	1359	The Unholy Three	1925	86	Crime,Drama,Romance
3618	tt0016544	5.2	1223	The Wizard of Oz	1925	81	Adventure,Comedy,Family
3658	tt0016630	7.2	2051	Battling Butler	1926	77	Comedy
3664	tt0016641	8.0	6519	Ben-Hur: A Tale of the Christ	1925	143	Adventure,Drama,Romance
3668	tt0016654	7.2	1417	The Black Pirate	1926	88	Action,Adventure
3673	tt0016669	7.9	1240	La Bohème	1926	95	Drama,Romance
3678	tt0016690	8.2	1305	Brown of Harvard	1926	85	Drama,Romance
3725	tt0016847	8.1	11775	Faust	1926	85	Drama,Fantasy,Horror
3737	tt0016884	8.1	3496	Flesh and the Devil	1926	112	Drama,Romance
3743	tt0016895	7.6	1130	For Heaven's Sake	1926	58	Action,Comedy,Romance
3794	tt0017048	7.6	1887	A Page of Madness	1926	70	Drama,Horror
3801	tt0017075	7.3	8113	The Lodger	1927	68	Crime,Drama,Mystery
3821	tt0017128	7.7	2015	Mother	1926	89	Drama
3825	tt0017136	8.3	130785	Metropolis	1927	153	Drama,Sci-Fi
3883	tt0017350	7.8	1260	The Scarlet Letter	1926	115	Drama
3901	tt0017416	7.4	1558	The Son of the Sheik	1926	68	Adventure,Drama,Romance
3906	tt0017423	7.5	1010	Sparrows	1926	110	Drama
3911	tt0017448	7.3	1557	Tartuffe	1925	74	Drama
3939	tt0017534	7.8	1564	West Point	1927	95	Drama,Romance
3993	tt0017668	7.7	3169	Berlin: Symphony of a Great City	1927	65	Documentary
4011	tt0017739	7.2	2257	The Cat and the Canary	1927	108	Comedy,Horror,Mystery
4019	tt0017765	7.1	3604	College	1927	66	Comedy,Drama,Sport
4035	tt0017825	6.2	1615	When Boys Leave Home	1927	80	Adventure,Drama,Thriller
4043	tt0017843	5.7	2110	Easy Virtue	1928	80	Romance,Thriller
4073	tt0017925	8.2	64088	The General	1926	67	Action,Adventure,Comedy
4111	tt0018033	7.4	2481	It	1927	72	Comedy,Romance
4112	tt0018037	6.8	7689	The Jazz Singer	1927	88	Drama,Music,Musical
4118	tt0018051	7.7	3060	The Kid Brother	1927	82	Comedy,Drama,Family
4119	tt0018054	7.4	1559	The King of Kings	1927	155	Biography,Drama,History
4124	tt0018066	7.6	1223	The End of St. Petersburg	1927	85	Drama
4131	tt0018097	6.9	1043	London After Midnight	1927	69	Horror
4160	tt0018192	7.6	5928	Napoleon	1927	240	Biography,Drama,History
4173	tt0018217	7.5	5829	October (Ten Days that Shook the World)	1928	142	Drama,History
4200	tt0018311	7.8	1196	The Red Mill	1927	74	Comedy,Romance
4205	tt0018328	6.3	2624	The Ring	1927	116	Drama,Romance,Sport
4219	tt0018379	7.8	2454	7th Heaven	1927	110	Drama,Romance
4240	tt0018451	7.8	1147	The Student Prince in Old Heidelberg	1927	106	Drama,Romance
4243	tt0018455	8.2	37585	Sunrise	1927	94	Drama,Romance
4249	tt0018471	7.9	1314	Tell It to the Marines	1926	103	Comedy,Drama,Romance
4273	tt0018526	7.7	1949	Underworld	1927	80	Crime,Drama,Film-Noir
4274	tt0018528	7.9	5960	The Unknown	1927	63	Drama,Horror,Romance
4291	tt0018578	7.7	9246	Wings	1927	144	Action,Drama,Romance
4353	tt0018737	8.0	8254	Pandora's Box	1929	109	Crime,Drama,Romance
4355	tt0018742	8.3	8546	The Cameraman	1928	69	Comedy,Drama,Family
4363	tt0018756	5.7	1601	Champagne	1928	86	Comedy
4366	tt0018770	7.4	2763	The Fall of the House of Usher	1928	63	Horror
4369	tt0018773	8.1	20984	The Circus	1928	72	Comedy,Romance
4374	tt0018806	8.0	6351	The Crowd	1928	98	Drama,Romance
4385	tt0018839	7.7	3175	The Docks of New York	1928	76	Crime,Drama,Film-Noir
4400	tt0018876	6.0	2050	The Farmer's Wife	1928	100	Comedy,Drama,Romance
4461	tt0019071	8.0	2682	The Last Command	1928	88	Drama,History,Romance
4462	tt0019074	7.7	1525	Laugh, Clown, Laugh	1928	73	Drama
4471	tt0019109	8.0	1640	Lonesome	1928	69	Comedy,Drama,Romance
4475	tt0019130	7.8	4309	The Man Who Laughs	1928	110	Drama,Horror,Mystery
4497	tt0019195	7.3	1003	The Mysterious Lady	1928	96	Drama,Romance
4513	tt0019237	7.3	1280	Our Dancing Daughters	1928	85	Drama
