	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
34097	tt0058100	6.7	4211	First Men in the Moon	1964	103	Adventure,Sci-Fi
34117	tt0058123	7.1	1480	Joy House	1964	97	Crime,Drama,Romance
34118	tt0058124	5.7	1395	All These Women	1964	80	Comedy
34120	tt0058126	8.4	2092	Hamlet	1964	140	Drama
34128	tt0058135	7.2	9055	The Troops of St. Tropez	1964	90	Comedy,Crime
34130	tt0058138	7.5	4488	Gertrud	1964	116	Drama,Romance
34141	tt0058150	7.7	150962	Goldfinger	1964	110	Action,Adventure,Thriller
34144	tt0058153	6.9	1830	Good Neighbor Sam	1964	130	Comedy
34145	tt0058154	6.3	1188	Goodbye Charlie	1964	116	Comedy,Fantasy,Romance
34146	tt0058155	6.5	4073	The Gorgon	1964	83	Horror
34156	tt0058166	7.1	1098	Guns at Batasi	1964	103	Drama,History,War
34171	tt0058182	7.7	34659	A Hard Day's Night	1964	87	Comedy,Music,Musical
34188	tt0058203	7.1	3548	That Man from Rio	1964	112	Action,Adventure,Comedy
34193	tt0058208	2.8	2291	The Horror of Party Beach	1964	78	Horror,Musical
34196	tt0058212	6.6	4804	How to Murder Your Wife	1965	118	Comedy
34197	tt0058213	7.7	10459	Hush...Hush, Sweet Charlotte	1964	133	Crime,Drama,Mystery
34211	tt0058230	6.5	4137	The Incredible Mr. Limpet	1964	99	Animation,Comedy,Family
34218	tt0058238	6.3	1363	Invitation to a Gunfighter	1964	92	Romance,Western
34229	tt0058249	7.6	6930	Diary of a Chambermaid	1964	97	Crime,Drama
34239	tt0058262	7.1	5458	The Killers	1964	93	Crime,Drama,Mystery
34240	tt0058263	7.6	1453	King & Country	1964	88	Drama,War
34242	tt0058265	7.0	5717	Kiss Me, Stupid	1964	125	Comedy,Romance
34244	tt0058267	4.7	1028	Kitten with a Whip	1964	83	Action,Crime,Drama
34252	tt0058275	7.7	2146	Lemonade Joe	1964	95	Adventure,Comedy,Musical
34255	tt0058279	8.0	11695	Kwaidan	1964	183	Drama,Fantasy,Horror
34259	tt0058283	6.9	2266	Lady in a Cage	1964	94	Drama,Horror,Thriller
34269	tt0058294	7.0	1965	Lilith	1964	114	Drama
34283	tt0058311	2.6	1518	Hercules Against the Moon Men	1964	90	Adventure,Fantasy
34295	tt0058324	7.2	3920	Man's Favorite Sport?	1964	120	Comedy,Romance
34298	tt0058329	7.2	37845	Marnie	1964	130	Crime,Drama,Mystery
34300	tt0058331	7.8	123420	Mary Poppins	1964	139	Comedy,Family,Fantasy
34302	tt0058333	7.1	9952	The Masque of the Red Death	1964	89	Horror
34304	tt0058335	7.5	6232	Marriage Italian Style	1964	102	Comedy,Drama,Romance
34312	tt0058343	6.8	1187	Merveilleuse Angélique	1965	105	Adventure,History,Romance
34335	tt0058371	6.9	1626	The Moon-Spinners	1964	118	Family,Mystery,Romance
34338	tt0058374	6.0	3781	Frosty	1965	84	Comedy,Family,Fantasy
34343	tt0058379	6.5	5523	Mothra vs. Godzilla	1964	89	Action,Adventure,Fantasy
34346	tt0058382	7.1	3571	Murder Ahoy	1964	93	Comedy,Crime,Drama
34347	tt0058383	7.2	3700	Murder Most Foul	1964	90	Comedy,Crime,Drama
34348	tt0058384	4.8	1065	Muscle Beach Party	1964	95	Comedy,Musical
34349	tt0058385	7.9	74818	My Fair Lady	1964	170	Drama,Family,Musical
34353	tt0058390	7.4	5526	The Naked Kiss	1964	90	Crime,Drama
34365	tt0058403	6.5	1152	The Night Walker	1964	86	Horror,Mystery,Thriller
34366	tt0058404	7.8	9300	The Night of the Iguana	1964	125	Drama
34367	tt0058405	6.8	1306	Nightmare	1964	83	Horror,Mystery,Thriller
34370	tt0058409	7.6	2339	Gate of Flesh	1964	90	Drama
34375	tt0058414	8.1	1014	Nothing But a Man	1964	95	Drama,Romance
34390	tt0058430	8.0	12427	Onibaba	1964	103	Drama,Horror
34395	tt0058437	6.3	1663	The Outrage	1964	96	Crime,Drama,Western
34406	tt0058450	7.8	18400	The Umbrellas of Cherbourg	1964	91	Drama,Musical,Romance
34408	tt0058453	6.4	6417	Paris When It Sizzles	1964	110	Comedy,Romance
34410	tt0058456	6.3	1621	The Patsy	1964	101	Comedy
34412	tt0058458	7.6	5491	The Soft Skin	1964	113	Drama,Romance
34415	tt0058461	8.0	165939	Fistful of Dollars	1964	99	Western
34445	tt0058500	7.3	1568	The Pumpkin Eater	1964	118	Drama
34465	tt0058525	6.6	1278	Rio Conchos	1964	107	Action,Drama,War
34469	tt0058529	6.5	3835	Robin and the 7 Hoods	1964	123	Comedy,Crime,Musical
34470	tt0058530	6.6	5243	Robinson Crusoe on Mars	1964	110	Adventure,Sci-Fi
34473	tt0058534	6.0	2157	Roustabout	1964	101	Drama,Music,Musical
34483	tt0058544	6.7	3776	Ghidorah, the Three-Headed Monster	1964	93	Action,Adventure,Fantasy
34486	tt0058547	7.6	1218	Sangam	1964	238	Drama,Musical,Romance
34487	tt0058548	2.6	9722	Santa Claus Conquers the Martians	1964	81	Adventure,Comedy,Family
34493	tt0058557	7.9	4894	Seance on a Wet Afternoon	1964	121	Crime,Drama
34498	tt0058564	8.0	2328	Seduced and Abandoned	1964	118	Comedy,Drama
34500	tt0058567	7.3	6296	Blood and Black Lace	1964	88	Horror,Mystery,Thriller
34502	tt0058571	7.0	4893	Send Me No Flowers	1964	100	Comedy,Drama,Romance
34506	tt0058576	7.9	10544	Seven Days in May	1964	118	Drama,Romance,Thriller
34509	tt0058580	6.5	2907	Sex and the Single Girl	1964	110	Comedy,Romance
34515	tt0058586	7.6	21868	A Shot in the Dark	1964	102	Comedy,Mystery
34528	tt0058604	8.0	6698	I Am Cuba	1964	108	Drama,War
34530	tt0058606	7.0	4845	Spider Baby or, the Maddest Story Ever Told	1967	81	Comedy,Horror
34539	tt0058615	2.2	3149	The Starfighters	1964	78	Drama
34542	tt0058620	6.8	3735	Strait-Jacket	1964	93	Drama,Horror,Thriller
34546	tt0058625	8.5	13414	Woman in the Dunes	1964	123	Drama,Thriller
34562	tt0058642	8.1	4692	Shadows of Forgotten Ancestors	1965	97	Drama,Music,Romance
34568	tt0058652	7.7	2291	Three Outlaw Samurai	1964	95	Action,Drama
34575	tt0058659	5.1	1684	The Time Travelers	1964	82	Sci-Fi
34585	tt0058672	7.1	7039	Topkapi	1964	120	Adventure,Comedy,Crime
34600	tt0058692	6.8	1657	The Black Tulip	1964	115	Action,Adventure,Comedy
34602	tt0058694	5.9	3593	Two Thousand Maniacs!	1964	83	Horror
34607	tt0058700	6.9	14330	The Last Man on Earth	1964	86	Horror,Sci-Fi
34608	tt0058701	7.4	2411	Une Femme Mariée	1964	95	Drama
34614	tt0058708	6.8	2860	The Unsinkable Molly Brown	1964	128	Biography,Comedy,Musical
34615	tt0058709	5.9	1168	Amongst Vultures	1964	98	Adventure,Western
34619	tt0058715	7.9	8831	The Gospel According to St. Matthew	1964	137	Biography,Drama,History
34625	tt0058724	7.7	1210	The Visit	1964	100	Drama
34626	tt0058725	6.4	5571	Viva Las Vegas	1964	85	Comedy,Musical
34639	tt0058743	7.0	3341	What a Way to Go!	1964	111	Comedy,Romance
34641	tt0058745	6.5	1081	Where Love Has Gone	1964	111	Drama
34646	tt0058751	6.6	2424	Winnetou: The Red Gentleman	1964	94	Adventure,Western
34649	tt0058754	6.8	1271	Woman of Straw	1964	122	Crime,Drama,Thriller
34651	tt0058756	6.8	2745	The World of Henry Orient	1964	106	Comedy,Drama
34670	tt0058777	7.8	31650	Zulu	1964	138	Drama,History,War
34768	tt0058886	7.2	5406	The Agony and the Ecstasy	1965	138	Biography,Drama,History
34770	tt0058888	8.3	12908	Red Beard	1965	185	Drama
34778	tt0058898	7.2	18915	Alphaville	1965	99	Drama,Mystery,Sci-Fi
34787	tt0058909	6.8	1211	Angelique and the King	1966	100	Adventure,History,Romance
34799	tt0058926	7.0	1853	Att angöra en brygga	1965	101	Comedy,Drama,Romance
34801	tt0058930	6.4	1211	Baby the Rain Must Fall	1965	100	Drama
34814	tt0058946	8.1	44246	The Battle of Algiers	1966	121	Drama,War
34815	tt0058947	6.8	12478	Battle of the Bulge	1965	167	Drama,History,War
34821	tt0058953	5.6	2049	Beach Blanket Bingo	1965	98	Comedy,Musical,Romance
34828	tt0058962	7.4	3951	The Bedford Incident	1965	102	Drama,Thriller
34842	tt0058981	6.4	2184	Boeing, Boeing	1965	102	Comedy
34844	tt0058983	4.8	1276	Bloody Pit of Horror	1965	87	Horror
34845	tt0058985	7.6	2959	Le Bonheur	1965	79	Drama,Romance
34856	tt0058997	7.3	6108	Bunny Lake Is Missing	1965	107	Mystery,Thriller
34867	tt0059012	8.0	6020	Chimes at Midnight	1965	113	Comedy,Drama,History
34869	tt0059014	6.2	2194	Carry on Cowboy	1965	93	Comedy,Western
34871	tt0059017	6.9	11551	Cat Ballou	1965	97	Comedy,Romance,Western
34891	tt0059037	7.3	12916	The Cincinnati Kid	1965	102	Drama
34897	tt0059043	7.6	7857	The Collector	1965	119	Drama,Thriller
34898	tt0059044	5.3	1168	Color Me Blood Red	1965	79	Comedy,Horror
34900	tt0059049	7.0	1446	Don Camillo in Moscow	1965	93	Comedy
34901	tt0059050	7.5	1065	Compartiment tueurs	1965	95	Drama,Mystery,Thriller
34916	tt0059065	6.1	1681	Crack in the World	1965	96	Sci-Fi
34926	tt0059076	5.3	1318	Curse of the Fly	1965	86	Drama,Horror,Mystery
34928	tt0059079	7.0	2955	Come Drink with Me	1966	91	Action,Crime
34929	tt0059080	4.6	2203	Daikaijû Gamera	1965	78	Horror,Sci-Fi
34933	tt0059084	7.2	4838	Darling	1965	128	Drama,Romance
34942	tt0059094	6.3	1050	Dear Brigitte	1965	100	Comedy,Family
34943	tt0059095	6.7	2757	The 10th Victim	1965	92	Action,Sci-Fi
34954	tt0059106	6.4	1662	Die! Die! My Darling!	1965	97	Horror,Thriller
34958	tt0059112	5.9	1262	Do Not Disturb	1965	102	Comedy,Romance
34959	tt0059113	8.0	60946	Doctor Zhivago	1965	197	Drama,Romance,War
34967	tt0059124	5.1	1740	Dr. Goldfoot and the Bikini Machine	1965	88	Comedy,Sci-Fi
34968	tt0059125	6.8	3914	Dr. Terror's House of Horrors	1965	98	Horror
34969	tt0059126	5.7	3164	Dr. Who and the Daleks	1965	82	Adventure,Family,Sci-Fi
34970	tt0059127	6.8	7439	Dracula: Prince of Darkness	1966	90	Horror
34995	tt0059159	6.9	1272	Pleasures of the Flesh	1965	104	Crime,Drama
34998	tt0059162	6.0	1139	The Face of Fu Manchu	1965	89	Action,Crime,Drama
35001	tt0059166	6.2	1719	The Family Jewels	1965	99	Comedy
35003	tt0059168	6.9	5162	Fantomas Unleashed	1965	94	Adventure,Comedy,Crime
35005	tt0059170	6.8	11885	Faster, Pussycat! Kill! Kill!	1965	83	Action,Comedy
35017	tt0059183	7.6	16886	The Flight of the Phoenix	1965	142	Adventure,Drama
35033	tt0059205	4.9	1421	Frankenstein Conquers the World	1965	90	Horror,Sci-Fi
35046	tt0059219	6.0	1648	Genghis Khan	1965	120	Adventure,Drama,History
35048	tt0059221	7.3	4732	The Ghost and Mr. Chicken	1966	90	Comedy,Family,Mystery
35051	tt0059224	6.4	1763	Girl Happy	1965	96	Comedy,Musical,Romance
35055	tt0059229	7.7	9574	Juliet of the Spirits	1965	137	Comedy,Drama,Fantasy
35067	tt0059243	7.3	13828	The Great Race	1965	160	Action,Adventure,Comedy
35069	tt0059245	6.6	7211	The Greatest Story Ever Told	1965	225	Biography,Drama,History
35070	tt0059246	8.5	5394	Guide	1965	183	Drama,Musical,Romance
35073	tt0059250	6.7	2889	The Hallelujah Trail	1965	165	Comedy,Western
35078	tt0059255	4.7	1262	Harum Scarum	1965	95	Comedy,Crime,Musical
35083	tt0059260	7.3	14913	Help!	1965	92	Adventure,Comedy,Musical
35086	tt0059263	6.5	5472	The Heroes of Telemark	1965	131	Action,Drama,History
35091	tt0059269	6.8	1454	A High Wind in Jamaica	1965	103	Adventure,Drama
35096	tt0059274	7.9	10375	The Hill	1965	123	Drama,War
35115	tt0059297	6.3	2089	I Saw What You Did	1965	82	Horror,Thriller
35120	tt0059303	7.1	1271	Samurai Spy	1965	100	Action,Drama
35126	tt0059309	7.3	6880	In Harm's Way	1965	165	Drama,War
35128	tt0059311	6.2	1598	Incubus	1966	78	Horror
35131	tt0059314	6.3	2693	Inside Daisy Clover	1965	128	Drama,Music,Romance
35136	tt0059319	7.3	11521	The Ipcress File	1965	109	Thriller
35160	tt0059346	6.4	3733	Invasion of Astro-Monster	1965	94	Action,Adventure,Sci-Fi
35172	tt0059358	7.6	3393	King Rat	1965	134	Drama,War
35175	tt0059362	6.7	2388	The Knack... and How to Get It	1965	85	Comedy
35203	tt0059399	6.8	3035	Lord Jim	1965	154	Adventure,Drama,Romance
35211	tt0059410	7.2	2839	The Loved One	1965	122	Comedy
35215	tt0059415	7.7	5885	The Loves of a Blonde	1965	90	Comedy,Drama,Romance
35217	tt0059418	6.8	5957	Major Dundee	1965	123	Adventure,War,Western
35235	tt0059440	7.0	2361	At Midnight I'll Take Your Soul	1964	84	Horror
35242	tt0059447	6.5	1148	Mickey One	1965	93	Crime,Drama
35243	tt0059448	7.4	3272	Mirage	1965	108	Mystery,Thriller
35256	tt0059464	2.3	6436	Monster a-Go Go	1965	70	Horror,Sci-Fi
35257	tt0059465	5.6	2203	Die, Monster, Die!	1965	80	Horror,Mystery,Sci-Fi
35262	tt0059470	7.0	2741	Morituri	1965	123	Action,Drama,Thriller
35264	tt0059474	6.0	1177	Motorpsycho!	1965	74	Action,Thriller
35266	tt0059477	6.4	1066	Mudhoney	1965	92	Drama
35281	tt0059496	7.3	4426	The Nanny	1965	91	Thriller
35300	tt0059518	6.5	1309	None But the Brave	1965	106	Drama,War
35308	tt0059527	8.1	6788	The Shop on Main Street	1965	128	Drama
35309	tt0059529	8.3	1186	Triumph Over Violence	1965	138	Documentary,History,War
35316	tt0059538	5.9	1086	Old Surehand	1965	90	Adventure,Western
35326	tt0059549	6.6	3534	Operation Crossbow	1965	115	Action,Drama,War
35327	tt0059550	8.7	9324	Operation 'Y' & Other Shurik's Adventures	1965	95	Comedy,Crime,Romance
35330	tt0059555	7.3	1167	Othello	1965	165	Drama
35332	tt0059557	6.5	5115	Our Man Flint	1966	108	Action,Adventure,Comedy
35337	tt0059563	5.6	1525	Paradise, Hawaiian Style	1966	91	Comedy,Musical
35343	tt0059573	8.0	6082	A Patch of Blue	1965	105	Drama,Romance
35345	tt0059575	7.8	6781	The Pawnbroker	1964	116	Drama
35347	tt0059578	8.3	185931	For a Few Dollars More	1965	132	Western
35358	tt0059592	7.7	22824	Pierrot le Fou	1965	110	Crime,Drama,Romance
35367	tt0059601	6.6	1005	A Pistol for Ringo	1965	98	Action,Drama,Western
35378	tt0059616	7.6	3395	The Trial of Joan of Arc	1962	65	Drama,History
35381	tt0059619	8.0	2942	Fists in the Pocket	1965	105	Drama
35395	tt0059635	6.3	2142	Rasputin: The Mad Monk	1966	91	Biography,Drama,Horror
35401	tt0059643	8.0	3988	The Saragossa Manuscript	1965	182	Adventure,Comedy,Drama
35403	tt0059646	7.8	40269	Repulsion	1965	105	Drama,Horror,Thriller
35410	tt0059653	6.6	2487	Ride in the Whirlwind	1966	82	Western
35417	tt0059661	6.3	1286	The Rounders	1965	85	Comedy,Western
35429	tt0059673	7.6	1595	Samurai Assassin	1965	122	Action,Adventure,Drama
35430	tt0059674	6.2	2443	The Sandpiper	1965	117	Drama
35433	tt0059678	6.2	1830	The Satan Bug	1965	114	Crime,Mystery,Sci-Fi
35459	tt0059710	5.8	2421	She	1965	106	Adventure,Fantasy
35460	tt0059711	7.4	6686	Shenandoah	1965	105	Drama,War,Western
35461	tt0059712	7.2	4292	Ship of Fools	1965	149	Drama,Romance,War
35464	tt0059715	7.4	1043	Story of a Prostitute	1965	96	Drama,War
35473	tt0059727	6.4	1895	The Skull	1965	83	Horror,Thriller
35475	tt0059729	7.0	1367	The Slender Thread	1965	98	Drama
35481	tt0059740	7.2	11905	The Sons of Katie Elder	1965	122	Western
35483	tt0059742	8.0	167802	The Sound of Music	1965	174	Biography,Drama,Family
35488	tt0059749	7.7	12215	The Spy Who Came in from the Cold	1965	112	Drama,Thriller
35501	tt0059764	6.6	1334	A Study in Terror	1965	95	Crime,Mystery,Thriller
35511	tt0059776	7.8	2031	The Round-Up	1966	90	Drama,History,War
35526	tt0059792	6.3	4232	Planet of the Vampires	1965	88	Horror,Sci-Fi
35527	tt0059793	6.7	4611	That Darn Cat!	1965	116	Comedy,Crime,Family
35531	tt0059797	7.0	6339	Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes	1965	138	Adventure,Comedy,Family
35532	tt0059798	7.5	2810	A Thousand Clowns	1965	118	Comedy,Drama,Romance
35534	tt0059800	7.0	89984	Thunderball	1965	130	Action,Adventure,Thriller
35543	tt0059812	8.6	1669	The Corporal and Others	1965	111	Comedy
35547	tt0059817	8.0	1254	Tokyo Olympiad	1965	170	Documentary,Sport
35550	tt0059821	6.6	4251	The Tomb of Ligeia	1964	81	Drama,Horror,Thriller
35553	tt0059825	7.9	11566	The Train	1964	133	Thriller,War
35558	tt0059831	6.4	1390	Up to His Ears	1965	104	Adventure,Comedy
35579	tt0059855	8.2	1313	The Monkey King	1963	114	Action,Adventure,Animation
35580	tt0059856	7.3	1343	Sandra	1965	105	Drama,Mystery,War
35597	tt0059878	3.3	1711	Village of the Giants	1965	81	Comedy,Sci-Fi
35603	tt0059885	7.1	11188	Von Ryan's Express	1965	117	Action,Adventure,War
35605	tt0059887	3.6	1180	Voyage to the Prehistoric Planet	1965	78	Adventure,Sci-Fi
35611	tt0059895	5.4	1504	City in the Sea	1965	84	Adventure,Fantasy,Sci-Fi
35612	tt0059896	6.9	2470	The War Lord	1965	123	Drama,History
35617	tt0059903	6.2	8456	What's New Pussycat	1965	108	Comedy
35629	tt0059915	6.7	1932	Winnetou: The Last Shot	1965	93	Action,Adventure,Western
35638	tt0059927	6.6	2599	The Yellow Rolls-Royce	1964	122	Comedy,Drama,Romance
35645	tt0059934	7.6	1067	Yoyo	1965	92	Comedy,Drama,Family
35663	tt0059956	6.4	2799	Viva Maria!	1965	120	Adventure,Comedy,Romance
35665	tt0059958	5.9	1011	The Oil Prince	1965	89	Adventure,Western
35747	tt0060050	6.9	1720	7 Women	1966	87	Drama
35765	tt0060073	7.0	1055	Africa addio	1966	140	Documentary
35766	tt0060074	2.0	1128	Agent for H.A.R.M.	1966	84	Action,Adventure,Sci-Fi
35775	tt0060086	7.1	11626	Alfie	1966	114	Comedy,Drama
35783	tt0060094	5.5	1073	The Alphabet Murders	1965	90	Comedy,Crime,Mystery
35784	tt0060095	6.4	1776	Alvarez Kelly	1966	116	Western
35786	tt0060097	5.7	1815	Nightmare Castle	1965	105	Horror
35792	tt0060107	8.3	32314	Andrei Rublev	1966	205	Biography,Drama,History
35803	tt0060120	6.3	2415	The Appaloosa	1966	98	Western
35804	tt0060121	6.6	5224	Arabesque	1966	105	Action,Adventure,Crime
35808	tt0060125	8.0	3566	For Love and Gold	1966	120	Adventure,Comedy,History
35819	tt0060138	7.9	13747	Au Hasard Balthazar	1966	95	Drama
35822	tt0060143	6.2	1060	Texas, Adios	1966	93	Action,Western
35831	tt0060153	6.5	26060	Batman: The Movie	1966	105	Adventure,Comedy,Crime
35837	tt0060161	8.3	3561	Watch Out for the Automobile	1966	94	Comedy,Crime,Romance
35840	tt0060164	6.3	3865	The Bible: In the Beginning...	1966	174	Drama
35841	tt0060165	7.4	3355	A Big Hand for the Little Lady	1966	95	Western
35843	tt0060168	3.2	1251	Billy the Kid Versus Dracula	1966	73	Action,Drama,Horror
35851	tt0060176	7.6	47083	Blow-Up	1966	111	Drama,Mystery,Thriller
35852	tt0060177	7.1	5552	The Blue Max	1966	156	Action,Drama,Romance
35856	tt0060182	7.3	5112	Born Free	1966	95	Adventure,Drama,Family
35867	tt0060196	8.9	572472	The Good, the Bad and the Ugly	1966	161	Western
35870	tt0060200	6.5	3099	After the Fox	1966	103	Comedy,Crime
35879	tt0060214	6.9	3534	Carry on Screaming!	1966	97	Comedy,Horror
35882	tt0060218	6.4	2366	Cast a Giant Shadow	1966	146	Adventure,Drama,History
35887	tt0060223	7.7	1247	The Hunt	1966	91	Drama,Thriller
35894	tt0060232	7.3	8455	The Chase	1966	134	Crime,Drama,Thriller
35920	tt0060268	7.2	9606	Cul-De-Sac	1966	113	Comedy,Drama,Thriller
35928	tt0060277	8.1	7722	The Sword of Doom	1966	119	Action,Drama
35929	tt0060278	6.0	2686	Daleks' Invasion Earth 2150 A.D.	1966	84	Family,Sci-Fi
35955	tt0060304	7.0	5338	2 or 3 Things I Know About Her	1967	87	Comedy,Drama
35956	tt0060305	8.0	4140	Le Deuxieme Souffle	1966	150	Crime,Drama
35958	tt0060307	5.9	1978	The Witches	1966	90	Horror
35964	tt0060315	7.3	20692	Django	1966	92	Action,Western
35976	tt0060330	6.5	2051	Carry On... Don't Lose Your Head	1966	90	Action,Adventure,Comedy
35997	tt0060355	6.7	2326	Duel at Diablo	1966	103	Western
36009	tt0060371	7.8	4373	The Endless Summer	1966	95	Documentary,Sport
36017	tt0060380	7.2	1369	Esta Noite Encarnarei no Teu Cadáver	1967	108	Horror
36024	tt0060390	7.3	36139	Fahrenheit 451	1966	112	Drama,Sci-Fi
36028	tt0060395	7.5	1033	The Family Way	1966	115	Comedy,Drama,Romance
36030	tt0060397	6.8	14618	Fantastic Voyage	1966	100	Adventure,Family,Sci-Fi
36033	tt0060400	6.8	4923	Fantomas vs. Scotland Yard	1967	104	Adventure,Comedy,Crime
36034	tt0060401	7.5	1355	Pharaoh	1966	180	Drama
36046	tt0060420	7.2	1811	Follow Me, Boys!	1966	131	Drama,Family
36050	tt0060424	7.4	10347	The Fortune Cookie	1966	125	Comedy,Romance
36053	tt0060429	5.7	1446	Frankie and Johnny	1966	87	Comedy,Musical,Romance
36061	tt0060437	6.9	4451	Funeral in Berlin	1966	102	Thriller
36062	tt0060438	7.0	7302	A Funny Thing Happened on the Way to the Forum	1966	99	Comedy,Musical
36064	tt0060440	6.5	1728	The War of the Gargantuas	1966	88	Action,Horror,Sci-Fi
36069	tt0060445	7.1	4052	Gambit	1966	109	Comedy,Crime,Thriller
36070	tt0060446	4.5	1607	Gamera vs. Barugon	1966	106	Action,Adventure,Fantasy
36074	tt0060450	6.4	5483	The Troops in New York	1965	102	Comedy
36077	tt0060453	6.9	2890	Georgy Girl	1966	99	Comedy,Drama,Romance
36085	tt0060463	6.5	3449	The Glass Bottom Boat	1966	110	Comedy,Romance
36086	tt0060464	5.3	3216	Godzilla vs. the Sea Monster	1966	87	Action,Adventure,Comedy
36091	tt0060472	7.2	6676	Grand Prix	1966	176	Drama,Sport
36093	tt0060474	8.0	12901	La Grande Vadrouille	1966	132	Comedy,War
36094	tt0060475	6.6	2326	The Exchange Student	1967	84	Adventure,Comedy
36098	tt0060479	6.6	1070	The Group	1966	150	Drama
36100	tt0060481	7.5	1669	The War Is Over	1966	121	Drama,War
36101	tt0060482	8.0	1529	The Dacians	1966	110	Biography,Drama,History
36109	tt0060490	7.0	6676	Harper	1966	121	Action,Crime,Drama
36110	tt0060491	6.5	2276	Hawaii	1966	189	Drama
36135	tt0060522	7.6	20467	How to Steal a Million	1966	123	Comedy,Crime,Romance
36151	tt0060545	7.7	1367	I Knew Her Well	1965	115	Drama
36153	tt0060548	6.2	2068	Island of Terror	1966	89	Horror
36163	tt0060558	3.0	1356	Jesse James Meets Frankenstein's Daughter	1966	88	Horror,Sci-Fi,Western
36165	tt0060560	7.5	1748	The Pornographers	1966	128	Comedy,Drama
36178	tt0060574	7.3	1814	Young Torless	1966	87	Drama
36187	tt0060584	8.4	8263	Kidnapping, Caucasian Style	1967	82	Comedy,Romance
36189	tt0060586	7.3	1034	Fighting Elegy	1966	86	Action,Comedy,Drama
36190	tt0060588	6.9	5596	Khartoum	1966	134	Action,Adventure,Drama
36224	tt0060635	7.5	1354	Dragon Inn	1967	111	Action,Adventure
36225	tt0060636	6.6	1375	Lord Love a Duck	1966	105	Comedy,Drama,Romance
36226	tt0060637	6.6	1378	Lost Command	1966	129	Action,Drama,War
36228	tt0060640	6.0	1031	Lt. Robin Crusoe, U.S.N.	1966	110	Adventure,Comedy,Family
36231	tt0060645	7.1	1604	Madame X	1966	100	Drama
36233	tt0060647	6.5	2945	Made in U.S.A	1966	90	Comedy,Crime,Mystery
36245	tt0060661	6.8	1189	The Man Called Flintstone	1966	89	Action,Adventure,Animation
36248	tt0060665	7.9	26184	A Man for All Seasons	1966	120	Biography,Drama,History
36249	tt0060666	1.9	32511	Manos: The Hands of Fate	1966	70	Horror
36251	tt0060668	7.6	2027	Marat/Sade	1967	116	Drama,History,Music
36257	tt0060675	7.6	9999	Masculin Féminin	1966	110	Drama,Romance
36283	tt0060708	5.1	2108	Modesty Blaise	1966	119	Action,Adventure,Comedy
36288	tt0060714	7.0	1385	Morgan!	1966	97	Comedy,Drama,Fantasy
36299	tt0060726	6.4	1408	Munster, Go Home!	1966	96	Comedy,Crime,Family
36300	tt0060728	6.1	1366	Murderers' Row	1966	105	Action,Adventure,Comedy
36308	tt0060736	7.4	4283	The Naked Prey	1965	96	Adventure,Drama,Thriller
36314	tt0060742	8.3	2181	Nayak: The Hero	1966	120	Drama
36319	tt0060747	7.5	1333	Neulovimye mstiteli	1967	78	Action,Adventure,Western
36320	tt0060748	7.0	6212	Nevada Smith	1966	128	Western
36324	tt0060753	2.6	5986	Night Train to Mundo Fine	1966	89	Action,Adventure,Crime
36327	tt0060758	7.5	2132	Black Girl	1966	65	Drama
36344	tt0060782	5.7	6474	One Million Years B.C.	1966	100	Adventure,Fantasy
36356	tt0060794	7.1	4616	Kill, Baby... Kill!	1966	85	Horror,Mystery
36362	tt0060802	7.8	9441	Closely Watched Trains	1966	93	Comedy,Drama,Romance
36372	tt0060814	6.9	3044	Is Paris Burning?	1966	175	Drama,History,War
36375	tt0060818	6.4	1218	Penelope	1966	97	Comedy,Crime
36382	tt0060827	8.1	76322	Persona	1966	85	Drama,Thriller
36396	tt0060841	6.7	3646	The Plague of the Zombies	1966	91	Horror
36414	tt0060862	7.4	11275	The Professionals	1966	117	Action,Adventure,Western
36426	tt0060877	5.3	1215	Queen of Blood	1966	78	Horror,Sci-Fi
36428	tt0060880	6.5	2744	The Quiller Memorandum	1966	104	Crime,Drama,Mystery
36432	tt0060884	6.4	2517	The Rare Breed	1966	97	Drama,Romance,Western
36439	tt0060891	7.6	1399	The Nun	1966	135	Drama
36440	tt0060893	6.2	2585	The Reptile	1966	91	Horror
36443	tt0060897	5.5	3032	Return of the Magnificent Seven	1966	95	Action,Western
36451	tt0060908	7.6	3047	King of Hearts	1966	102	Comedy,Drama,War
36462	tt0060921	7.1	6769	The Russians Are Coming! The Russians Are Coming!	1966	126	Comedy,War
36469	tt0060934	7.7	11340	The Sand Pebbles	1966	182	Adventure,Drama,Romance
36486	tt0060955	7.7	12872	Seconds	1966	106	Sci-Fi,Thriller
36489	tt0060959	7.4	7180	Daisies	1966	74	Comedy,Drama
36504	tt0060980	6.1	2135	The Silencers	1966	102	Action,Adventure,Comedy
36531	tt0061015	5.8	1451	Spinout	1966	90	Comedy,Musical,Romance
36538	tt0061024	6.0	1199	Stagecoach	1966	115	Action,Adventure,Western
36549	tt0061037	6.1	1017	The Witches	1967	121	Comedy,Drama,Romance
36553	tt0061042	7.9	2332	Hunger	1966	112	Drama
36571	tt0061065	8.0	5365	The Face of Another	1966	122	Drama,Sci-Fi
36579	tt0061074	6.7	1324	The Brute and the Beast	1966	92	Western
